persona_id,display_name,full_name,role,tenure,office,category_id,category_name,category_full_name,group_id,group_name,description,core_needs,motivations,frustrations,category_tag,quote
"csp-an-2","Resourceful Rita","","Analyst","1 year","","csp","CSP","Client Service Professionals","csp-analysts","Analysts","A resourceful analyst who quickly finds creative solutions to research challenges. Excellent at building presentations and client-ready materials.","Templates | Research databases | Peer collaboration","Contributing to team success | Learning from seniors | Building expertise","Tight deadlines | Information overload | Limited autonomy","",""
"esp-pl-1","Owner Persona","","Practice Leader","10+ years","","esp","ESP","Expert Service Professionals","esp-practice-leaders","Practice Leaders","A practice leader who owns the strategic direction and growth of their practice area. Responsible for talent, revenue, and market positioning within the practice.","Market intelligence | Talent pipeline | Practice strategy tools","Practice growth | Market leadership | Talent development","Resource competition | Inconsistent quality | Market changes","",""
"esp-pl-2","Practice Manager Persona","","Practice Leader","8+ years","","esp","ESP","Expert Service Professionals","esp-practice-leaders","Practice Leaders","Manages day-to-day operations of the practice including staffing, knowledge management, and practice development activities.","Staffing tools | Knowledge management | Performance tracking","Operational efficiency | Team satisfaction | Practice metrics","Manual processes | Fragmented data | Competing demands","",""
"esp-pm-1","Sender Persona","","Practice Manager","5-8 years","","esp","ESP","Expert Service Professionals","esp-practice-managers","Practice Managers","A practice manager responsible for communications outreach, sending targeted content and updates to practice members and stakeholders.","Communication platforms | Content curation | Audience segmentation","Effective communication | Practice engagement | Knowledge dissemination","Email fatigue | Content overload | Low engagement rates","",""
"esp-pm-2","Coordinator Carl","","Practice Manager","4 years","","esp","ESP","Expert Service Professionals","esp-practice-managers","Practice Managers","Coordinates practice events, training sessions, and knowledge-sharing initiatives. Ensures smooth operations across distributed teams.","Event management tools | Scheduling systems | Collaboration platforms","Team cohesion | Knowledge sharing | Smooth operations","Timezone challenges | Low attendance | Tool fragmentation","",""
"esp-pcs-1","Swift Sam","","Practice Communications Specialist","3-5 years","","esp","ESP","Expert Service Professionals","esp-practice-comms","Practice Comms Specialists","A fast-paced communications specialist who creates and distributes practice-level content, newsletters, and updates. Expert at crafting compelling narratives.","Content creation tools | Distribution channels | Analytics dashboards","Storytelling impact | Practice visibility | Content quality","Content bottlenecks | Approval delays | Measuring impact","",""
"esp-pcs-2","Creative Priya","","Practice Communications Specialist","4 years","","esp","ESP","Expert Service Professionals","esp-practice-comms","Practice Comms Specialists","A creative communicator who designs visually compelling practice materials, presentations, and digital content for internal and external audiences.","Design tools | Brand guidelines | Content templates","Visual storytelling | Brand consistency | Creative expression","Brand inconsistency | Last-minute requests | Limited creative freedom","",""
"fsp-ffl-1","Fiona","Fiona — Firm Leader","Firm Leader","15+ years","Large Office Location","fsp","FSP","Firm Service Professionals","fsp-firm-functions-leaders","Firm Functions Leaders","As the leader of one of our largest offices, Fiona divides her focus between defining the future of the office, coaching her team on crafting strategy and tactics to realize that vision, and serving her clients. Given the demands on her time, rapid access to accurate data about her office is absolutely critical — she needs to be able to make day-to-day decisions on her feet as well as to step back and look at the big picture when working to plan for the future. Since the beginning of the COVID-19 pandemic, much of her focus has been on attracting and retaining the key talent (especially EMs and APs) her offices needs to staff their increased engagement load, as well as on providing the transparency her current office members need to feel secure, productive, and connected.","Rapid access to accurate data about her office | Day-to-day decision-making tools on the go | Big picture strategic planning dashboards | Talent attraction and retention insights","Uphold Firm values and preserve our culture, even as we scale in size | Ensure her office can attract and retain the very best talent | Make better, more data-informed decisions without losing time | Communicate transparently with her office about what's happening at every level of the Firm","Information about her office is stored in too many places and delivered via too many reports and systems | Cadence of her work is often governed by Firm committee meetings | Attrition is high for our most critical roles, making engagements difficult to staff","","Technology empowers me to realize my vision for the future of the Firm"
"fsp-ffl-2","Visionary Legend","Visionary Legend","Developer Experience Leader","15–20 years","Global","fsp","FSP","Firm Service Professionals","fsp-firm-functions-leaders","Firm Functions Leaders","A seasoned leader aged 40–55 with 15–20 years of experience and 8–15 years at the Firm. A vision setter and advocate for standardisation, known for long-term thinking, deep knowledge, and a drive for transparency. Builds networks across teams and is impact-driven in every initiative.","I do my work on time, then I need my holidays | I am up for challenges if my manager tells me | My family is my motivation to work | I have good friends here in the company — they share with me all things | I follow all firm rules and apply them diligently | I like to read some good coding articles but I don't like to share","Building world-class products with strong developer ethics | Setting Firm-wide best practices and standards | Reducing risk and cost through collaboration | Preserving good working culture","Firm is ever changing — tools come and go, we learn something and then it gets decommissioned | I know every 2 years leadership will change — I am used to it now | I sometimes feel my manager doesn't appreciate me with my work","","I am working in the firm from 15 yr. My vision is to have world class products and good working ethics for the developers. I think a best practice is important to set a valuable Firm wide standard in collaboration and brings immediate value (less risk and cost)."
"fsp-ffl-3","Peter","Peter — People Leader","People Leader","12+ years","Multiple Offices","fsp","FSP","Firm Service Professionals","fsp-firm-functions-leaders","Firm Functions Leaders","As a Partner of the Firm, Peter spends most of his time cultivating client relationships and delivering meaningful impact for clients through engagements and solution delivery. His deep commitment to creating an unrivaled environment for exceptional people informs his approach to client work. He believes client engagements are as much an opportunity for sponsorship and professional development as they are for client impact, and works hard to make sure the colleagues he coaches, mentors, and sponsors receive the feedback and opportunities they need to grow. He actively embraces and celebrates the diversity of his DGLees' contributions and backgrounds and strives to provide nonhierarchical and inclusive coaching.","Ramp up an engagement quickly with the right talent | Evaluate a colleague fairly and comprehensively | Sponsor a colleague effectively | Mentor a colleague with care and impact","Building a great Firm that attracts, develops, excites, and retains exceptional people | Ensuring unbiased and meaningful evaluations for DGLees | Increasing the Firm's impact through developing and staffing exceptional talent","Information about staffing opportunities outside of his own network is hard to come by | He has at least one other full-time job, which means he can't always spend as much time on apprenticeship as he would like | Diverse engagement staffing isn't as emphasized as he would like","","Technology enables me to develop and staff exceptional and diverse talent"
"fsp-psl-1","Product Manager Jenna","","Product/Service Leader","8+ years","","fsp","FSP","Firm Service Professionals","fsp-product-service-leaders","Product/Service Leaders","A dynamic product leader (also known as Jetting Jenna) who drives product strategy and roadmap for internal services. Balances user needs with business objectives.","Product analytics | User research | Roadmap tools","User satisfaction | Product-market fit | Innovation","Conflicting stakeholder demands | Technical debt | Resource limitations","",""
"fsp-psl-2","Service Director Dan","","Product/Service Leader","10+ years","","fsp","FSP","Firm Service Professionals","fsp-product-service-leaders","Product/Service Leaders","A service-oriented leader who ensures internal services meet the evolving needs of the firm. Champions service excellence and continuous improvement.","Service metrics | User feedback loops | Quality assurance","Service excellence | User experience | Operational efficiency","Service disruptions | Unclear ownership | Legacy infrastructure","",""
"fsp-psm-1","Low-Tenure Generalist","","Product/Service Manager","1-3 years","","fsp","FSP","Firm Service Professionals","fsp-product-service-managers","Product/Service Managers","A newer product/service manager still learning the firm's ecosystem. Brings fresh ideas but needs support navigating organizational complexity.","Onboarding resources | Mentor support | Process documentation","Quick wins | Building credibility | Learning the landscape","Steep learning curve | Unclear processes | Limited network","",""
"fsp-psm-2","FSP Persona","","Product/Service Manager","5+ years","","fsp","FSP","Firm Service Professionals","fsp-product-service-managers","Product/Service Managers","An experienced product/service manager who deeply understands the firm's operational needs and delivers reliable, scalable solutions.","Stakeholder management | Project tracking | Quality standards","Reliable delivery | Stakeholder trust | Process maturity","Scope creep | Changing priorities | Technical complexity","",""
"fsp-psd-1","GenX Gina","","Product/Service Designer","10+ years","","fsp","FSP","Firm Service Professionals","fsp-product-service-designers","Product/Service Designers","A seasoned GenX designer who combines deep experience with practical design sensibility. Values usability and accessibility in all design solutions.","Design systems | User research tools | Accessibility standards","Usable design | Inclusive experiences | Design mentoring","Trend-chasing | Inconsistent standards | Limited user access","",""
"fsp-psd-2","Luminary Lamar","","Product/Service Designer","6 years","","fsp","FSP","Firm Service Professionals","fsp-product-service-designers","Product/Service Designers","A creative luminary who pushes design boundaries and champions innovation in service design. Known for visually stunning and functionally excellent work.","Creative tools | Design inspiration | Prototyping platforms","Creative excellence | Innovation | Design impact","Corporate constraints | Design-by-committee | Tight timelines","",""
"fsp-psd-3","Software Architect","","Product/Service Designer","8+ years","","fsp","FSP","Firm Service Professionals","fsp-product-service-designers","Product/Service Designers","A technical designer who bridges the gap between design and engineering. Ensures designs are technically feasible and architecturally sound.","Technical documentation | Architecture tools | Cross-team collaboration","Technical excellence | Scalable solutions | Design-engineering alignment","Design-dev handoff issues | Technical debt | Unclear requirements","",""
"fsp-psd-4","Data Designer","","Product/Service Designer","4 years","","fsp","FSP","Firm Service Professionals","fsp-product-service-designers","Product/Service Designers","A data-focused designer who specializes in data visualization, dashboards, and information architecture for data-heavy products.","Data viz tools | Analytics platforms | User research","Data storytelling | Clear information design | User empowerment","Data quality issues | Complex datasets | Stakeholder misalignment","",""
"fsp-pse-1","EA Persona","","Product/Service Engineer","5+ years","","fsp","FSP","Firm Service Professionals","fsp-product-service-engineers","Product/Service Engineers","An enterprise architect persona who designs and maintains the technical infrastructure powering firm services. Ensures system reliability and scalability.","Architecture tools | Monitoring systems | Security frameworks","System reliability | Technical innovation | Scalability","Legacy systems | Technical debt | Resource constraints","",""
"fsp-pse-2","Full-Stack Dev","","Product/Service Engineer","3 years","","fsp","FSP","Firm Service Professionals","fsp-product-service-engineers","Product/Service Engineers","A versatile full-stack developer who builds and maintains internal tools and platforms. Comfortable across the technology stack.","Dev tools | CI/CD pipelines | Code review processes","Clean code | Feature delivery | Technical growth","Context switching | Legacy codebases | Unclear requirements","",""
"fsp-ea-1","Organized Olivia","","Executive Assistant","7+ years","","fsp","FSP","Firm Service Professionals","fsp-executive-assistants","Executive Assistants","A highly organized executive assistant who manages complex schedules, travel, and communications for firm leaders. The backbone of executive productivity.","Calendar management | Travel tools | Communication platforms","Smooth operations | Executive support | Proactive problem-solving","Last-minute changes | Tool fragmentation | Information gaps","",""
"fsp-ea-2","Tech-Savvy Tina","","Executive Assistant","3 years","","fsp","FSP","Firm Service Professionals","fsp-executive-assistants","Executive Assistants","A tech-forward executive assistant who leverages digital tools and automation to increase efficiency. Champions new technology adoption among support staff.","Automation tools | Digital workspace | Training resources","Efficiency gains | Technology adoption | Professional development","Manual processes | Outdated tools | Resistance to change","",""
"ew-cs-1","Michael Morrison","","C-Suite Executive","External","","ew","EW","Everyday Wins","ew-c-suite","C-Suite Executives","A C-suite executive client who values strategic partnerships and measurable outcomes. Expects premium service and thought leadership from consulting engagements.","Strategic insights | ROI measurement | Executive reporting","Business transformation | Competitive advantage | Shareholder value","Slow delivery | Misaligned priorities | Lack of innovation","",""
"ew-cs-2","Executive Emma","","C-Suite Executive","External","","ew","EW","Everyday Wins","ew-c-suite","C-Suite Executives","A forward-thinking C-suite executive focused on digital transformation and organizational agility. Values partners who challenge conventional thinking.","Digital strategy | Change management | Innovation frameworks","Digital leadership | Organizational agility | Market disruption","Resistance to change | Vendor fatigue | Unclear outcomes","",""
"fa-an-1","Connected Chris","","Firm Alumni","Former (5 years at firm)","","firm-alumni","Firm Alumni","Firm Alumni","fa-alumni","Alumni Network","A well-connected alumni who actively participates in firm events and refers potential clients. Values the ongoing relationship with the firm.","Alumni network access | Event invitations | Industry updates","Professional network | Industry connections | Giving back","Losing touch | Outdated contact info | Irrelevant communications","",""
"fa-an-2","Advocate Anita","","Firm Alumni","Former (8 years at firm)","","firm-alumni","Firm Alumni","Firm Alumni","fa-alumni","Alumni Network","A passionate firm advocate who actively promotes the firm brand in their current organization. Often serves as a bridge for new business opportunities.","Firm updates | Networking events | Knowledge resources","Brand advocacy | Professional growth | Community belonging","Communication gaps | Exclusion from events | Outdated information","",""
"data-td-1","Sarah","Sarah — Product Manager","Product Manager","10+ years","New York 711","data","Data Persona","Data Personas","data-td","T&D (Technology & Development)","I've been with the Firm for over 10 years. I joined the firm as a software engineer right after graduate school and is now the product manager that supports the firm's staffing needs. As part of the nature of my work, I often find myself making decisions on allocating resources to ensure we are on track of product roadmap while contributing to firm-wide initiatives. Sometimes with some specific tasks, I wish I have more support or resources I could use to help me better manage my team's work.","Need to understand the quality of our data and how that can help prioritize work and make product decisions | Being able to fix issues quickly | Identify product requirements and prioritize requirements","Data-driven product decisions | Team resource optimization | Firm-wide initiative alignment","Not able to identify potential risks timely due to inadequate reports | Resource and capability management, may not have the right person on the team to work on this — i.e. don't have the right talent available on team to work on data governance | No immediate output or reports available because coding and set up time is required | Lack of understanding of business functions | Lack of full understanding of data and therefore leads to issues","T&D",""
"data-td-2","Raina","Raina — Tech Lead","Tech Lead","8 years","Waltham Office","data","Data Persona","Data Personas","data-td","T&D (Technology & Development)","I started at the Firm's Waltham office 8 years ago as a Technical Architect for Optimize team. Since I became the Tech Lead of my team, I took up more responsibilities at overseeing the team's work and collaborating with my business partners and other team leads to make sure my plan is agreed upon and executed properly. The next goal in my career is to be the Head of Engineers and overseeing multiple teams. I'm excited to take up more management skills and operate at a higher level to see bigger picture.","Ensure the team has a clear direction for development | Provide a smooth onboarding experience for CDB users | Get regular updates and review data reports | Provide solutions to achieving product requirements","Team leadership | Technical excellence | Career growth to Head of Engineers","Not getting insights to keep a pulse on data needs | Stretched thin and constantly solving impediments and setting technical direction | Lack of dedicated data engineer limits the bandwidth to support on additional data needs | I do not always know what firm data is available for me to use and how reliable it currently is","T&D",""
"data-td-3","Rahul","Rahul — Software Engineer","Software Engineer / Full-stack Developer","4 years","Gurgaon","data","Data Persona","Data Personas","data-td","T&D (Technology & Development)","I've been at the firm for about 4 years now, and primarily working on Drupal apps. I got into technology because I enjoy solving problems and creating solutions that make people's job easier. In recent years Cloud Migration has gained a lot of attention in enterprises big and small, so I started a learning journey to get AWS certification recently and my goal is to become an expert in cloud migration.","Build features for the products as planned and prioritized by the team while collaborating with other team members | Data quality is important to me, I need to have access to comprehensive and accurate data | Need to understand how the data is consumed internally in the application","Problem solving | Cloud migration expertise | AWS certification","Have to stay up-to-date with latest technological developments while continuously delivering | Do not always have the broader picture of what we are trying to solve for | Data engineer sometimes missing in the teams but more teams adding now eg. Engage | My team does not have a full-time Data Engineer so sometimes I have to support that role, although often times I don't have the capacity or capability to provide full support","T&D",""
"data-td-4","Amir","Amir — Data Engineer","Data Engineer","3 years","New York 711","data","Data Persona","Data Personas","data-td","T&D (Technology & Development)","I've been with McKinsey for the last three years, primarily working with the recruitment team to support data needs. A lot of my work is about cleaning up and running data quality checks over unstructured data from different offices globally, and making sure the data meet the firm's compliance standards. I have learned a lot while supporting such a global effort, and want to broaden my expertise by supporting other product teams and become a Tech Lead in the data engineering space.","Accelerate data management work efficiently and repeatably | Ensure the process of handling data and the outcome are in compliance with firm requirements | Ability to fix issues quickly","Career growth to Tech Lead | Data quality excellence | Global data compliance","Not sure how to select the best tool available within the firm to use for data needs — i.e. handle large-size dataset and apply various data quality check rules | Not sure how to handle confidential data sensitively and adhere to secure guidelines | Challenging to identify and clean data issues especially for the ones not generating in our systems — unable to trace the source of the issue to fix it in the right place | No easy way to find the data stewards associated for each firm-wide system","T&D",""
"data-csp-1","Joseph","Joseph — Data Engineer","Data Engineer","5 years","New York Office","data","Data Persona","Data Personas","data-csp","CSP (Client-Serving Professionals)","I've been with McKinsey for 5 years. I started out as a software engineer at a tech startup before moving into consulting, and am now an Expert at the firm. I have primarily worked with clients in the GEM sector, and I really enjoy working with data and analytics, drawing insights and setting up data pipelines that are sustainable. Throughout the years I have built really good relationships with our clients and I aspire to be a Partner one day be more engaged in managing client relationships.","Help client set up the pipeline and run data quality check | Ensure the completeness and the comprehensiveness of data","Client relationship building | Data pipeline sustainability | Career growth to Partner","Need to build standardize Data Quality check on every client engagement from scratch | No best-in-class industry tool to use | Sometimes license constraints come into play when choosing platforms | In some cases, coding from scratch might be required for every dataset","CSP",""
"data-csp-2","Vicky","Vicky — Data Scientist","Data Scientist","3 years","Seattle Office","data","Data Persona","Data Personas","data-csp","CSP (Client-Serving Professionals)","I have been with the firm for three years and served a lot of clients in the M&S sector. Most of my work involves building data science models to extract patterns and insights. I am truly passionate about the potential of data science and love seeing the impact of our team's work on client's business. I am planning to get a Ph.D degree in the data science field and join the Quantum Black team to do more advanced analytics work.","Explore and clean data to generate insight and build analytic models | Deep-dive into certain sections of data to dig up insights","Data science passion | Client impact | Ph.D and Quantum Black aspiration","Worried about 'Garbage in garbage out' | CST team waiting for answers from day 1 without appropriate time for set-up and data clean-up | No standard process or tool to check data quality and usability","CSP",""
"data-disc-1","Helpful Georgiana","","Product Manager, Panorama IT Team","","","data","Data Persona","Data Personas","data-discovery","Data Discovery & Usage","Manages and distributes the latest versions of model files to her team, ensuring data is centralized and not siloed on individual computers. Technically proficient; uses her team's dedicated space and clear naming conventions to manage data effectively. Works with specific, versioned model files for different countries (e.g., ""model dash Hungary""). Finds data by searching directly within her team's dedicated space in Data World. Systems: Data World.","Specific, versioned model files for different countries | Centralized data (not siloed on individual computers) | Find data by searching within team's dedicated space in Data World","Centralized versioning | Clear naming conventions | Team efficiency","The primary pain point, which she has solved, was data getting stuck on individual computers and the lack of a central versioning system.","Data",""
"data-disc-2","Curious Mariela","","CCN, Global Consumer","","","data","Data Persona","Data Personas","data-discovery","Data Discovery & Usage","Fields questions about methodology, data definitions, and firm access to specific databases. Seeks out examples and subject matter experts. Technically moderate; comfortable using both data catalogs and community channels. Needs definitions, methodology catalogs, database subscription information, and contact information for experts. Consults Data World for formal definitions and catalogs and uses the ""Consumer Network"" Slack channel to ask for examples or find experts. Systems: Data World, Slack.","Definitions, methodology catalogs, database subscription information | Contact information for experts | Data World for formal definitions; Consumer Network Slack for examples and experts","Methodology clarity | Expert access | Catalog usage","Not always having the answer immediately available and needing to consult external sources.","Data",""
"data-disc-3","Networker Ryan","","Data Engineer / Tech Lead","","","data","Data Persona","Data Personas","data-discovery","Data Discovery & Usage","Day to day: locating, understanding, and gaining access to new datasets required by his team. Technically high; navigates social networks and formal systems. Needs new, domain-specific datasets (e.g., LMS dataset) and the context/nuances of data tables. Process starts with people—identifying and contacting domain experts; uses Slack channels (e.g., EDW channel) to find experts, then Data World to submit formal access requests. Systems: Slack, Data World.","New, domain-specific datasets and context/nuances of data tables | Discovery via people and domain experts; Slack (EDW channel); Data World for access requests","Team data needs | Domain expertise | Structured access","Confusion between similarly named Slack channels. | Initial discovery relies heavily on organic networking, which can be inefficient.","Data",""
"data-disc-4","Self-reliant James","","Strategy & Operations, Tech Ecosystem","","","data","Data Persona","Data Personas","data-discovery","Data Discovery & Usage","Primarily works with a known set of data; occasionally needs to find new data when his existing mental map is insufficient. Technically moderate; prefers direct communication and browsing catalogs over dedicated search tools. Needs new data tables relevant to his work. First step is to ask colleagues what tables they use; if that fails, browses the Snowflake catalog directly. Systems: Snowflake.","New data tables relevant to his work | Asks colleagues first; browses Snowflake catalog directly","Known data set | Colleague knowledge | Direct catalog access","Has found Data World unhelpful. | Finds the table names in the Snowflake catalog to be confusing and untrustworthy (""horrible"").","Data",""
"data-disc-5","Pragmatic Ishika","","Senior Capabilities & Insights Analyst, Private Capital","","","data","Data Persona","Data Personas","data-discovery","Data Discovery & Usage","Conducts research using a mix of internal knowledge bases, external web searches, and specialized portals. Technically high; efficiently navigates multiple platforms. Needs pre-DDP reports, AI-generated memos, and documents specific to the private capital sector. Primary sources: Know (internal knowledge platform), Press Search (web search), and the specialized Private Capital Portal; uses Data World mainly as a gateway to external sources like EMIS. Systems: Know, Press Search, Private Capital Portal, Data World.","Pre-DDP reports, AI-generated memos, private capital sector documents | Know, Press Search, Private Capital Portal; Data World for external sources (e.g., EMIS)","Research efficiency | Multi-source synthesis | Sector-specific content","The need to use multiple, distinct systems to get a complete picture.","Data",""
